Scen_NR;I. Krammer-Volkerak Oost;II. Krammer-Volkerak Midden;III. Krammer-Volkerak Ingang Eendracht;IV. Krammer-Volkerak West ;V. Eendracht Noord;VI. Eendracht Zuid;VII. Zoommeer;VIII. Zoommeer Zuid;IX. Bathse Spuikanaal;X. Voorhaven Kramersluizen;Volkerak-Zoommeer
NR;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l
390;430.0833435058594;485.7311096191406;528.6353149414062;575.626708984375;566.7015991210938;643.6343994140625;727.1213989257812;745.979736328125;749.2062377929688;1012.3896484375;553.37890625
391;431.7001647949219;487.49176025390625;530.4757690429688;577.5355224609375;568.9061889648438;644.91259765625;729.407470703125;748.3829345703125;751.983642578125;1014.4044189453125;555.9873046875
392;430.0833435058594;485.7311096191406;528.6353149414062;575.626708984375;566.7015991210938;643.6343994140625;727.1213989257812;745.979736328125;749.2062377929688;1012.3896484375;553.37890625
393;407.68988037109375;459.7107238769531;499.9125671386719;544.608154296875;511.5045166015625;527.6135864257812;575.847900390625;586.41064453125;596.0852661132812;974.9331665039062;499.14324951171875
394;406.1562805175781;458.0350646972656;498.1564025878906;542.8033447265625;509.30767822265625;525.4735717773438;573.8143310546875;584.2756958007812;593.5104370117188;973.028076171875;496.6611328125
395;407.68988037109375;459.7107238769531;499.9125671386719;544.608154296875;511.5045166015625;527.6135864257812;575.847900390625;586.41064453125;596.0852661132812;974.9331665039062;499.14324951171875
396;406.1562805175781;458.0350646972656;498.1564025878906;542.8033447265625;509.30767822265625;525.4735717773438;573.8143310546875;584.2756958007812;593.5104370117188;973.028076171875;496.6611328125
397;432.1222229003906;488.08453369140625;531.2855834960938;578.6796875;569.4512329101562;645.9418334960938;730.078369140625;749.0346069335938;752.6145629882812;1008.883544921875;556.75537109375
398;430.5162353515625;486.3313293457031;529.449462890625;576.7916259765625;567.2586669921875;644.6640014648438;727.79931640625;746.6387329101562;749.8448486328125;1006.8860473632812;554.1544799804688
399;432.1222229003906;488.08453369140625;531.2855834960938;578.6796875;569.4512329101562;645.9418334960938;730.078369140625;749.0346069335938;752.6145629882812;1008.883544921875;556.75537109375
400;430.5162353515625;486.3313293457031;529.449462890625;576.7916259765625;567.2586669921875;644.6640014648438;727.79931640625;746.6387329101562;749.8448486328125;1006.8860473632812;554.1544799804688
401;407.5913391113281;459.53424072265625;499.6214904785156;544.1148071289062;511.4250183105469;527.5619506835938;575.9996948242188;586.539306640625;596.1429443359375;970.43896484375;498.9972229003906
402;406.0849914550781;457.8905029296875;497.9007873535156;542.3484497070312;509.261962890625;525.4525146484375;573.9895629882812;584.4285278320312;593.594482421875;968.5702514648438;496.54815673828125
403;407.5913391113281;459.53424072265625;499.6214904785156;544.1148071289062;511.4250183105469;527.5619506835938;575.9996948242188;586.539306640625;596.1429443359375;970.43896484375;498.9972229003906
404;406.0849914550781;457.8905029296875;497.9007873535156;542.3484497070312;509.261962890625;525.4525146484375;573.9895629882812;584.4285278320312;593.594482421875;968.5702514648438;496.54815673828125
405;432.0227355957031;487.9070129394531;530.9934692382812;578.1849365234375;569.3887939453125;646.4105834960938;730.2509155273438;749.17822265625;752.720947265625;1004.3875732421875;556.6082153320312
406;430.44354248046875;486.1851501464844;529.1920776367188;576.334716796875;567.22705078125;645.1414794921875;727.9876708984375;746.798583984375;749.9645385742188;1002.42578125;554.036865234375
407;432.0227355957031;487.9070129394531;530.9934692382812;578.1849365234375;569.3887939453125;646.4105834960938;730.2509155273438;749.17822265625;752.720947265625;1004.3875732421875;556.6082153320312
408;430.44354248046875;486.1851501464844;529.1920776367188;576.334716796875;567.22705078125;645.1414794921875;727.9876708984375;746.798583984375;749.9645385742188;1002.42578125;554.036865234375
