DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
757,19520404,    0,     ,
757,19520405,    0,     ,
757,19520406,    0,     ,
757,19520407,   70,     ,
757,19520408,   52,     ,
757,19520409,    0,     ,
757,19520410,    0,     ,
757,19520411,    0,     ,
757,19520412,    0,     ,
757,19520413,    0,     ,
757,19520414,    0,     ,
757,19520415,    0,     ,
757,19520416,    0,     ,
757,19520417,    0,     ,
757,19520418,    0,     ,
757,19520419,    0,     ,
757,19520420,    0,     ,
757,19520421,    0,     ,
757,19520422,    7,     ,
757,19520423,    0,     ,
757,19520424,   34,     ,
757,19520425,    0,     ,
757,19520426,    0,     ,
757,19520427,    0,     ,
757,19520428,    0,     ,
757,19520429,    0,     ,
757,19520430,    0,     ,
757,19520501,    0,     ,
757,19520502,    0,     ,
757,19520503,   24,     ,
757,19520504,   23,     ,
757,19520505,   21,     ,
757,19520506,   36,     ,
757,19520507,   88,     ,
757,19520508,    0,     ,
757,19520509,   27,     ,
757,19520510,    9,     ,
757,19520511,    8,     ,
757,19520512,    0,     ,
757,19520513,   10,     ,
757,19520514,    0,     ,
757,19520515,    0,     ,
757,19520516,    0,     ,
757,19520517,    0,     ,
757,19520518,   17,     ,
757,19520519,    0,     ,
757,19520520,    0,     ,
757,19520521,    0,     ,
757,19520522,    0,     ,
757,19520523,    0,     ,
757,19520524,    0,     ,
757,19520525,    0,     ,
757,19520526,    0,     ,
757,19520527,    9,     ,
757,19520528,    0,     ,
757,19520529,   17,     ,
757,19520530,    0,     ,
757,19520531,    0,     ,
757,19520601,   80,     ,
757,19520602,   27,     ,
757,19520603,    0,     ,
757,19520604,    0,     ,
757,19520605,    0,     ,
757,19520606,    0,     ,
757,19520607,   65,     ,
757,19520608,    0,     ,
757,19520609,   56,     ,
757,19520610,    0,     ,
757,19520611,    0,     ,
757,19520612,    0,     ,
757,19520613,    0,     ,
757,19520614,  105,     ,
757,19520615,    9,     ,
757,19520616,   84,     ,
757,19520617,    0,     ,
757,19520618,    0,     ,
757,19520619,    0,     ,
757,19520620,    0,     ,
757,19520621,   36,     ,
757,19520622,    9,     ,
757,19520623,   54,     ,
757,19520624,    0,     ,
757,19520625,    0,     ,
757,19520626,    0,     ,
757,19520627,    0,     ,
757,19520628,    0,     ,
757,19520629,    0,     ,
757,19520630,    0,     ,
757,19520701,    0,     ,
757,19520702,    0,     ,
757,19520703,    0,     ,
757,19520704,  985,     ,
757,19520705,    0,     ,
757,19520706,    0,     ,
757,19520707,  290,     ,
757,19520708,    0,     ,
757,19520709,    0,     ,
757,19520710,    0,     ,
757,19520711,    0,     ,
757,19520712,   40,     ,
757,19520713,    0,     ,
757,19520714,    0,     ,
757,19520715,    5,     ,
757,19520716,    0,     ,
757,19520717,    0,     ,
757,19520718,   80,     ,
757,19520719,   18,     ,
757,19520720,    0,     ,
757,19520721,    0,     ,
757,19520722,    0,     ,
757,19520723,    0,     ,
757,19520724,    0,     ,
757,19520725,    0,     ,
757,19520726,    0,     ,
757,19520727,    0,     ,
757,19520728,    0,     ,
757,19520729,  220,     ,
757,19520730,   64,     ,
757,19520731,    0,     ,
757,19520801,    8,     ,
757,19520802,   24,     ,
757,19520803,   50,     ,
757,19520804,    9,     ,
757,19520805,   25,     ,
757,19520806,    0,     ,
757,19520807,   16,     ,
757,19520808,  155,     ,
757,19520809,   16,     ,
757,19520810,   35,     ,
757,19520811,   21,     ,
757,19520812,    9,     ,
757,19520813,    0,     ,
757,19520814,    0,     ,
757,19520815,   10,     ,
757,19520816,   95,     ,
757,19520817,  120,     ,
757,19520818,    7,     ,
757,19520819,   40,     ,
757,19520820,    0,     ,
757,19520821,  167,     ,
757,19520822,    6,     ,
757,19520823,    0,     ,
757,19520824,    0,     ,
757,19520825,    0,     ,
757,19520826,    0,     ,
757,19520827,    0,     ,
757,19520828,    0,     ,
757,19520829,    0,     ,
757,19520830,    0,     ,
757,19520831,    0,     ,
757,19520901,    0,     ,
757,19520902,    0,     ,
757,19520903,   15,     ,
757,19520904,   60,     ,
757,19520905,   12,     ,
757,19520906,    0,     ,
757,19520907,   16,     ,
757,19520908,  105,     ,
757,19520909,    8,     ,
757,19520910,   51,     ,
757,19520911,    0,     ,
757,19520912,    0,     ,
757,19520913,    0,     ,
757,19520914,    0,     ,
757,19520915,    0,     ,
757,19520916,    0,     ,
757,19520917,    0,     ,
757,19520918,   61,     ,
757,19520919,   48,     ,
757,19520920,   55,     ,
757,19520921,   15,     ,
757,19520922,   74,     ,
757,19520923,    7,     ,
757,19520924,    0,     ,
757,19520925,   95,     ,
757,19520926,   47,     ,
757,19520927,    8,     ,
757,19520928,   98,     ,
757,19520929,   49,     ,
757,19520930,    0,     ,
757,19521001,   67,     ,
757,19521002,   91,     ,
757,19521003,  352,     ,
757,19521004,   12,     ,
757,19521005,   47,     ,
757,19521006,    0,     ,
757,19521007,   24,     ,
757,19521008,   11,     ,
757,19521009,    0,     ,
757,19521010,   45,     ,
757,19521011,   30,     ,
757,19521012,    0,     ,
757,19521013,    0,     ,
757,19521014,  120,     ,
757,19521015,   13,     ,
757,19521016,   53,     ,
757,19521017,    0,     ,
757,19521018,    0,     ,
757,19521019,    0,     ,
757,19521020,    0,     ,
757,19521021,    0,     ,
757,19521022,    0,     ,
757,19521023,   45,     ,
757,19521024,    5,     ,
757,19521025,   15,     ,
757,19521026,    4,     ,
757,19521027,    0,     ,
757,19521028,    0,     ,
757,19521029,   70,     ,
757,19521030,   74,     ,
757,19521031,  110,     ,
757,19521101,   40,     ,
757,19521102,   80,     ,
757,19521103,  205,     ,
757,19521104,   25,     ,
757,19521105,   23,     ,
757,19521106,    0,     ,
757,19521107,  175,     ,
757,19521108,   90,     ,
757,19521109,   70,     ,
757,19521110,   50,     ,
757,19521111,   48,     ,
757,19521112,   65,     ,
757,19521113,   16,     ,
757,19521114,    6,     ,
757,19521115,    0,     ,
757,19521116,    0,     ,
757,19521117,    0,     ,
757,19521118,    0,     ,
757,19521119,    0,     ,
757,19521120,    0,     ,
757,19521121,    0,     ,
757,19521122,    8,     ,
757,19521123,   10,     ,
757,19521124,   28,     ,
757,19521125,   59,     ,
757,19521126,    0,     ,
757,19521127,   15,     ,
757,19521128,  118,     ,
757,19521129,    0,     ,
757,19521130,    0,     ,
757,19521201,    0,     ,
757,19521202,    0,     ,
757,19521203,    0,     ,
757,19521204,    8,     ,
757,19521205,    0,     ,
757,19521206,    0,     ,
757,19521207,    0,     ,
757,19521208,    0,     ,
757,19521209,    0,     ,
757,19521210,    0,     ,
757,19521211,   10,     ,
757,19521212,   39,     ,
757,19521213,   29,     ,
757,19521214,   60,     ,
757,19521215,    0,     ,
757,19521216,   30,     ,
757,19521217,  220,     ,
757,19521218,   81,     ,
757,19521219,   60,     ,
757,19521220,   65,     ,
757,19521221,   94,     ,
757,19521222,    0,     ,
757,19521223,   44,     ,
757,19521224,   18,     ,
757,19521225,   78,     ,
757,19521226,    0,     ,
757,19521227,   26,     ,
757,19521228,   18,     ,
757,19521229,   10,     ,
757,19521230,    0,     ,
757,19521231,    0,     ,
757,19530101,     ,     ,
757,19530102,     ,     ,
757,19530103,     ,     ,
757,19530104,     ,     ,
757,19530105,     ,     ,
757,19530106,     ,     ,
757,19530107,     ,     ,
757,19530108,     ,     ,
757,19530109,     ,     ,
757,19530110,     ,     ,
757,19530111,     ,     ,
757,19530112,     ,     ,
757,19530113,     ,     ,
757,19530114,     ,     ,
757,19530115,     ,     ,
757,19530116,     ,     ,
757,19530117,     ,     ,
757,19530118,     ,     ,
757,19530119,     ,     ,
757,19530120,     ,     ,
757,19530121,     ,     ,
757,19530122,     ,     ,
757,19530123,     ,     ,
757,19530124,     ,     ,
757,19530125,     ,     ,
757,19530126,     ,     ,
757,19530127,     ,     ,
757,19530128,     ,     ,
757,19530129,     ,     ,
757,19530130,     ,     ,
