Tijdstip;I;II;III;IV;V;VI;VII;VIII;IX;X
;m3;m3;m3;m3;m3;m3;m3;m3;m3
2018-06-08 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-09 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-10 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-11 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-12 00:00;74691996.28031956;39835731.34950376;32366531.721471805;69712529.86163159;12214066.232703948;12214066.232703948;84825464.55884774;12448666.046719925;5969199.628031954;3450000.0
2018-06-13 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-14 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-15 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-16 00:00;74250000.0;39600000.0;32175000.0;69300000.0;12162500.0;12162500.0;84575000.0;12375000.0;5925000.0;3450000.0
2018-06-17 00:00;74250000.0;39600000.0;32175000.0;69300000.0;12162500.0;12162500.0;84575000.0;12375000.0;5925000.0;3450000.0
2018-06-18 00:00;74250000.0;39600000.0;32175000.0;69300000.0;12162500.0;12162500.0;84575000.0;12375000.0;5925000.0;3450000.0
2018-06-19 00:00;74250000.0;39600000.0;32175000.0;69300000.0;12162500.0;12162500.0;84575000.0;12375000.0;5925000.0;3450000.0
2018-06-20 00:00;74220132.4252316;39584070.62679019;32162057.384267025;69272123.59688282;12159015.449610353;12159015.449610353;84558075.04096456;12370022.070871932;5922013.24252316;3450000.0
2018-06-21 00:00;74165418.17313075;39554889.6923364;32138347.875023328;69221056.96158871;12152632.120198589;12152632.120198589;84527070.29810743;12360903.028855126;5916541.817313075;3450000.0
2018-06-22 00:00;74071532.54995722;39504817.35997718;32097664.10498146;69133430.37996006;12141678.797495008;12141678.797495008;84473868.44497575;12345255.424992869;5907153.254995721;3450000.0
2018-06-23 00:00;73958235.81046142;39444392.43224609;32048568.851199947;69027686.75643066;12128460.844553832;12128460.844553832;84409666.95926148;12326372.635076903;5895823.581046142;3450000.0
2018-06-24 00:00;73999315.08587252;39466301.379132;32066369.870544754;69066027.41348101;12133253.426685126;12133253.426685126;84432945.21532775;12333219.18097875;5899931.508587251;3450000.0
2018-06-25 00:00;74014204.46402377;39474242.380812675;32072821.9344103;69079924.16642219;12134990.520802774;12134990.520802774;84441382.52961348;12335700.74400396;5901420.4464023765;3450000.0
2018-06-26 00:00;74045212.16150276;39490779.81946814;32086258.60331786;69108864.68406925;12138608.085508656;12138608.085508656;84458953.5581849;12340868.693583794;5904521.216150276;3450000.0
2018-06-27 00:00;74126022.48083049;39533878.65644293;32121276.40835988;69184287.64877513;12148035.956096891;12148035.956096891;84504746.0724706;12354337.080138415;5912602.248083049;3450000.0
2018-06-28 00:00;74157221.6741078;39550518.226190835;32134796.05878005;69213406.89583395;12151675.861979244;12151675.861979244;84522425.61532776;12359536.945684634;5915722.167410781;3450000.0
